InvoiceNo,InvoiceDate,InvoiceSum
540501,2011-01-09,66.000
540502,2011-01-09,94.600
540504,2011-01-09,9.900
540505,2011-01-09,45.450
540506,2011-01-09,22.450
540507,2011-01-09,306.000
540508,2011-01-09,61.200
540509,2011-01-09,56.050
540510,2011-01-09,15.000
540511,2011-01-09,128.020
540512,2011-01-09,15.620
540513,2011-01-09,96.600
540514,2011-01-09,10.900
540515,2011-01-09,27.500
540516,2011-01-09,40.300
540517,2011-01-09,5.900
540518,2011-01-09,19.800
540520,2011-01-09,31.290
540522,2011-01-09,22.260
540523,2011-01-09,35.250
540524,2011-01-09,60.050
540525,2011-01-09,32.300
540526,2011-01-09,22.370
540528,2011-01-09,3.300
540529,2011-01-09,39.000
540530,2011-01-09,66.360
540531,2011-01-09,4.400
540532,2011-01-09,54.200
540533,2011-01-09,3.900
540536,2011-01-09,29.100
540537,2011-01-09,20.280
540538,2011-01-09,3.750
540539,2011-01-09,55.380
540540,2011-01-09,47.650
540541,2011-01-09,62.800
540542,2011-01-09,17.700
540543,2011-01-09,36.580
540545,2011-01-09,18.150
540551,2011-01-10,471.200
540552,2011-01-10,79.050
540554,2011-01-10,30.600
540561,2011-01-10,32.100
540566,2011-01-10,11.240
540567,2011-01-10,17.700
540568,2011-01-10,18.650
540595,2011-01-10,51.300
540604,2011-01-10,32.460
540635,2011-01-10,58.750
540640,2011-01-10,15.650
540641,2011-01-10,39.700
540644,2011-01-10,130.400
540645,2011-01-10,60.480
540646,2011-01-10,236.880
540647,2011-01-10,144.100
540649,2011-01-10,102.000
540662,2011-01-10,116.400
540664,2011-01-10,17.700
540671,2011-01-10,81.000
540672,2011-01-10,48.410
540680,2011-01-10,19.800
540681,2011-01-10,142.160
540685,2011-01-10,1.650
540687,2011-01-10,30.300
540689,2011-01-11,3272.400
540690,2011-01-11,26.250
540691,2011-01-11,70.480
540692,2011-01-11,37.200
540697,2011-01-11,42.900
540698,2011-01-11,1350.760
540701,2011-01-11,30.000
540702,2011-01-11,10.000
540703,2011-01-11,120.600
540704,2011-01-11,15.900
540732,2011-01-11,33.600
540750,2011-01-11,25.500
540768,2011-01-11,102.000
540770,2011-01-11,25.200
540777,2011-01-11,47.200
540779,2011-01-11,33.300
540782,2011-01-11,10.200
540794,2011-01-11,31.250
540795,2011-01-11,15.000
540798,2011-01-11,86.440
540800,2011-01-11,20.160
540803,2011-01-11,74.750
540809,2011-01-11,20.400
540813,2011-01-11,34.900
540816,2011-01-11,78.020
540817,2011-01-11,98.600
540821,2011-01-11,327.640
540823,2011-01-11,2.500
540826,2011-01-11,118.700
540827,2011-01-11,27.650
540828,2011-01-11,18.590
540829,2011-01-11,30.240
540832,2011-01-11,265.670
540833,2011-01-11,0.650
540834,2011-01-11,184.600
540838,2011-01-11,57.900
540839,2011-01-11,24.650
540840,2011-01-11,30.900
540848,2011-01-12,332.090
540849,2011-01-12,65.550
540855,2011-01-12,306.000
540856,2011-01-12,85.740
540857,2011-01-12,84.600
540858,2011-01-12,12.750
540859,2011-01-12,48.150
540907,2011-01-12,164.200
540915,2011-01-12,19.350
540940,2011-01-12,38.250
540943,2011-01-12,15.150
540947,2011-01-12,76.320
540951,2011-01-12,124.400
540953,2011-01-12,37.390
540954,2011-01-12,18.800
540955,2011-01-12,9.900
540957,2011-01-12,54.620
540968,2011-01-12,73.180
540975,2011-01-12,42.200
540977,2011-01-12,507.440
540979,2011-01-12,93.100
540980,2011-01-12,49.300
540981,2011-01-12,79.250
540984,2011-01-12,12.750
540986,2011-01-12,25.500
540990,2011-01-12,5.040
540991,2011-01-12,67.500
540992,2011-01-12,78.090
540993,2011-01-13,44.300
540994,2011-01-13,84.850
540995,2011-01-13,220.950
540999,2011-01-13,169.140
541002,2011-01-13,14.300
541003,2011-01-13,22.800
541005,2011-01-13,42.600
541006,2011-01-13,124.950
541008,2011-01-13,23.600
541010,2011-01-13,86.730
541011,2011-01-13,10.200
541012,2011-01-13,32.450
541013,2011-01-13,107.450
541014,2011-01-13,48.790
541015,2011-01-13,15.000
541018,2011-01-13,12.150
541021,2011-01-13,27.000
541038,2011-01-13,18.300
541086,2011-01-13,90.150
541088,2011-01-13,54.600
541091,2011-01-13,68.700
541094,2011-01-13,57.150
541103,2011-01-13,139.200
541104,2011-01-13,325.100
541107,2011-01-13,45.000
541110,2011-01-13,32.970
541111,2011-01-13,77.850
541112,2011-01-13,105.000
541113,2011-01-13,11.250
541114,2011-01-13,175.200
541119,2011-01-14,35.400
541123,2011-01-14,87.100
541126,2011-01-14,47.400
541127,2011-01-14,10.750
541128,2011-01-14,34.800
541129,2011-01-14,47.970
541130,2011-01-14,77.760
541131,2011-01-14,63.240
541132,2011-01-14,58.450
541133,2011-01-14,41.300
541134,2011-01-14,53.900
541136,2011-01-14,162.000
541137,2011-01-14,25.440
541139,2011-01-14,17.400
541172,2011-01-14,20.400
541181,2011-01-14,79.200
541202,2011-01-14,76.400
541204,2011-01-14,66.580
541205,2011-01-14,50.300
541207,2011-01-14,22.800
541208,2011-01-14,56.880
541213,2011-01-14,52.600
541214,2011-01-14,60.000
541215,2011-01-14,216.560
541216,2011-01-14,49.420
541217,2011-01-14,19.900
541218,2011-01-14,70.800
541219,2011-01-14,417.190
541221,2011-01-14,261.060
541223,2011-01-14,23.130
541225,2011-01-14,48.820
541226,2011-01-14,35.700
541227,2011-01-14,118.500
541238,2011-01-16,27.100
541239,2011-01-16,6.800
541240,2011-01-16,5.550
541241,2011-01-16,14.310
541242,2011-01-16,3.950
541244,2011-01-16,56.000
541248,2011-01-16,0.850
541249,2011-01-16,19.480
541250,2011-01-16,10.080
541251,2011-01-16,19.800
541252,2011-01-16,42.250
541253,2011-01-16,4.250
541256,2011-01-16,60.400
541258,2011-01-16,47.800
541259,2011-01-16,51.650
541260,2011-01-16,12.500
541262,2011-01-16,35.940
541263,2011-01-16,201.960
541264,2011-01-16,26.400
541265,2011-01-16,47.250
541266,2011-01-16,41.400
541268,2011-01-17,39.040
541270,2011-01-17,21.200
541272,2011-01-17,14.850
541273,2011-01-17,11.700
541274,2011-01-17,83.600
541278,2011-01-17,29.700
541279,2011-01-17,23.500
541280,2011-01-17,174.900
541281,2011-01-17,39.950
541282,2011-01-17,208.050
541283,2011-01-17,19.500
541285,2011-01-17,94.650
541286,2011-01-17,59.400
541288,2011-01-17,40.800
541289,2011-01-17,16.850
541290,2011-01-17,53.400
541291,2011-01-17,60.800
541292,2011-01-17,43.200
541293,2011-01-17,193.910
541294,2011-01-17,19.800
541302,2011-01-17,61.350
541316,2011-01-17,53.100
541357,2011-01-17,37.350
541362,2011-01-17,20.400
541370,2011-01-17,64.550
541371,2011-01-17,37.800
541391,2011-01-17,7.800
541406,2011-01-17,63.700
541407,2011-01-17,152.640
541408,2011-01-17,70.800
541410,2011-01-17,175.500
541413,2011-01-17,14.450
541414,2011-01-17,52.950
541417,2011-01-17,28.800
541421,2011-01-17,1208.220
541422,2011-01-17,352.220
541423,2011-01-17,417.560
541424,2011-01-17,287.510
541427,2011-01-18,67.500
541428,2011-01-18,51.500
541429,2011-01-18,10.200
541435,2011-01-18,42.450
541436,2011-01-18,97.500
541439,2011-01-18,10.200
541474,2011-01-18,97.500
541481,2011-01-18,34.900
541484,2011-01-18,47.100
541485,2011-01-18,29.180
541486,2011-01-18,17.570
541488,2011-01-18,107.100
541489,2011-01-18,65.300
541493,2011-01-18,81.410
541494,2011-01-18,1.250
541495,2011-01-18,31.290
541496,2011-01-18,35.580
541497,2011-01-18,545.380
541500,2011-01-18,17.000
541506,2011-01-18,57.180
541507,2011-01-18,27.340
541508,2011-01-18,62.830
541509,2011-01-18,25.270
541510,2011-01-18,37.200
541511,2011-01-18,12.500
541516,2011-01-18,196.620
541521,2011-01-19,40.800
541522,2011-01-19,27.650
541523,2011-01-19,16.850
541524,2011-01-19,142.050
541530,2011-01-19,63.950
541552,2011-01-19,72.900
541564,2011-01-19,41.440
541565,2011-01-19,16.950
541566,2011-01-19,35.280
541568,2011-01-19,45.000
541571,2011-01-19,26.100
541574,2011-01-19,47.700
541575,2011-01-19,84.540
541584,2011-01-19,46.440
541585,2011-01-19,15.000
541587,2011-01-19,2.100
541588,2011-01-19,46.200
541590,2011-01-19,14.850
541591,2011-01-19,16.650
541592,2011-01-19,908.720
541593,2011-01-19,23.100
541594,2011-01-19,30.000
541595,2011-01-19,5.220
541596,2011-01-19,112.620
541597,2011-01-19,23.600
541602,2011-01-19,10.140
541604,2011-01-19,13.380
541605,2011-01-20,99.600
541606,2011-01-20,40.560
541609,2011-01-20,17.000
541610,2011-01-20,165.000
541611,2011-01-20,366.720
541615,2011-01-20,6.300
541648,2011-01-20,7.950
541649,2011-01-20,15.000
541655,2011-01-20,56.450
541658,2011-01-20,26.450
541659,2011-01-20,10.200
541660,2011-01-20,85.110
541664,2011-01-20,19.900
541669,2011-01-20,53.850
541671,2011-01-20,51.700
541672,2011-01-20,15.000
541676,2011-01-20,61.440
541678,2011-01-20,16.400
541679,2011-01-20,17.700
541680,2011-01-20,522.900
541681,2011-01-20,68.520
541682,2011-01-20,30.600
541684,2011-01-20,183.750
541686,2011-01-20,148.100
541695,2011-01-20,851.580
541696,2011-01-20,610.920
541698,2011-01-20,21.570
541709,2011-01-21,54.900
541712,2011-01-21,19.550
541783,2011-01-21,161.700
541784,2011-01-21,68.750
541788,2011-01-21,10.000
541789,2011-01-21,790.170
541791,2011-01-21,57.500
541792,2011-01-21,69.600
541793,2011-01-21,43.150
541794,2011-01-21,31.000
541795,2011-01-21,40.050
541796,2011-01-21,74.000
541797,2011-01-21,1.650
541798,2011-01-21,4.950
541800,2011-01-21,10.000
541809,2011-01-21,265.260
541810,2011-01-21,68.600
541811,2011-01-21,39.380
541813,2011-01-21,17.640
541815,2011-01-21,4.950
541816,2011-01-21,34.000
541827,2011-01-21,660.210
541830,2011-01-21,194.110
541832,2011-01-21,16.650
541835,2011-01-23,20.400
541836,2011-01-23,14.950
541837,2011-01-23,30.000
541838,2011-01-23,259.950
541839,2011-01-23,39.600
541841,2011-01-23,10.080
541842,2011-01-23,10.800
541843,2011-01-23,70.090
541844,2011-01-23,36.800
541845,2011-01-23,12.800
541847,2011-01-23,82.600
541848,2011-01-23,81.470
541849,2011-01-23,9.200
541850,2011-01-23,22.200
541851,2011-01-23,11.900
541853,2011-01-23,26.000
541854,2011-01-23,6.550
541855,2011-01-23,82.820
541856,2011-01-23,16.650
541858,2011-01-23,45.000
541859,2011-01-23,29.970
541860,2011-01-23,32.900
541862,2011-01-23,46.400
541864,2011-01-23,322.640
541866,2011-01-24,67.350
541867,2011-01-24,145.000
541869,2011-01-24,120.860
541870,2011-01-24,25.220
541871,2011-01-24,117.130
541872,2011-01-24,22.200
541874,2011-01-24,405.600
541875,2011-01-24,58.950
541876,2011-01-24,40.950
541878,2011-01-24,49.650
541880,2011-01-24,83.400
541883,2011-01-24,146.400
541884,2011-01-24,90.000
541886,2011-01-24,46.100
541916,2011-01-24,39.800
541919,2011-01-24,15.600
541946,2011-01-24,21.900
541947,2011-01-24,94.280
541948,2011-01-24,18.200
541949,2011-01-24,52.200
541950,2011-01-24,63.300
541963,2011-01-24,18.400
541966,2011-01-24,15.800
541968,2011-01-24,31.800
541969,2011-01-24,121.740
541970,2011-01-24,116.800
541971,2011-01-24,116.390
541972,2011-01-24,62.700
541973,2011-01-24,27.360
541974,2011-01-24,90.690
541977,2011-01-24,37.700
541983,2011-01-24,15.000
541985,2011-01-24,25.100
541986,2011-01-24,15.000
541987,2011-01-24,83.550
541990,2011-01-25,11.900
541993,2011-01-25,46.940
541995,2011-01-25,13.520
541996,2011-01-25,55.800
541997,2011-01-25,41.450
541999,2011-01-25,270.840
542000,2011-01-25,89.250
542001,2011-01-25,89.280
542002,2011-01-25,49.500
542003,2011-01-25,113.820
542004,2011-01-25,17.700
542006,2011-01-25,100.000
542057,2011-01-25,13.350
542058,2011-01-25,142.320
542065,2011-01-25,20.600
542083,2011-01-25,27.870
542084,2011-01-25,89.500
542085,2011-01-25,38.240
542087,2011-01-25,72.800
542090,2011-01-25,36.450
542093,2011-01-25,49.700
542096,2011-01-25,7.900
542098,2011-01-25,10.200
542100,2011-01-25,42.100
542103,2011-01-25,41.100
542105,2011-01-25,70.600
542107,2011-01-25,134.750
542108,2011-01-25,23.600
542109,2011-01-25,184.550
542110,2011-01-25,15.000
542111,2011-01-25,19.500
542112,2011-01-25,95.450
542113,2011-01-25,17.850
542114,2011-01-25,45.800
542115,2011-01-25,150.960
542121,2011-01-25,34.800
542122,2011-01-25,56.760
542123,2011-01-25,15.600
542124,2011-01-25,15.000
542125,2011-01-25,20.280
542129,2011-01-25,15.300
542130,2011-01-25,3.100
542131,2011-01-25,33.760
542135,2011-01-25,2.950
542137,2011-01-25,7.500
542142,2011-01-26,53.100
542143,2011-01-26,135.000
542145,2011-01-26,419.400
542146,2011-01-26,48.450
542148,2011-01-26,10.500
542151,2011-01-26,17.400
542152,2011-01-26,54.800
542153,2011-01-26,58.500
542154,2011-01-26,102.000
542155,2011-01-26,285.600
542174,2011-01-26,40.350
542192,2011-01-26,139.390
542208,2011-01-26,224.880
542213,2011-01-26,2.950
542214,2011-01-26,38.760
542217,2011-01-26,11.650
542219,2011-01-26,40.200
542221,2011-01-26,28.450
542223,2011-01-26,14.850
542224,2011-01-26,16.700
542226,2011-01-26,41.600
542227,2011-01-26,39.500
542228,2011-01-26,12.600
542231,2011-01-26,369.500
542233,2011-01-26,33.000
542236,2011-01-26,19.650
542239,2011-01-26,28.750
542240,2011-01-26,82.800
542241,2011-01-26,27.300
542243,2011-01-26,10.000
542246,2011-01-26,47.550
542247,2011-01-26,23.800
542252,2011-01-26,311.240
542254,2011-01-26,102.000
542255,2011-01-26,316.870
542258,2011-01-26,6.600
542265,2011-01-26,23.850
542266,2011-01-26,71.290
542268,2011-01-27,70.640
542272,2011-01-27,56.380
542274,2011-01-27,35.150
542275,2011-01-27,36.600
542277,2011-01-27,69.920
542284,2011-01-27,86.200
542320,2011-01-27,39.000
542344,2011-01-27,387.770
542345,2011-01-27,15.100
542347,2011-01-27,51.000
542349,2011-01-27,5.040
542353,2011-01-27,60.750
542354,2011-01-27,138.000
542360,2011-01-27,85.200
542370,2011-01-27,26.700
542372,2011-01-27,156.240
542373,2011-01-27,61.320
542374,2011-01-27,93.430
542377,2011-01-27,15.000
542381,2011-01-27,58.400
542382,2011-01-27,65.400
542384,2011-01-27,12.750
542387,2011-01-27,3.550
542388,2011-01-27,31.800
542390,2011-01-27,79.750
542393,2011-01-27,47.350
542398,2011-01-27,84.050
542399,2011-01-27,122.510
542401,2011-01-27,80.350
542406,2011-01-27,8.500
542407,2011-01-27,10.080
542408,2011-01-27,68.150
542409,2011-01-27,97.500
542411,2011-01-27,9.900
542412,2011-01-27,3.300
542419,2011-01-27,11.100
542420,2011-01-27,50.280
542422,2011-01-27,17.200
542423,2011-01-28,232.500
542429,2011-01-28,19.500
542430,2011-01-28,104.700
542431,2011-01-28,48.300
542432,2011-01-28,67.500
542434,2011-01-28,106.840
542470,2011-01-28,30.000
542503,2011-01-28,146.000
542506,2011-01-28,121.000
542511,2011-01-28,198.400
542519,2011-01-28,63.100
542520,2011-01-28,42.200
542521,2011-01-28,42.800
542526,2011-01-28,58.800
542527,2011-01-28,32.700
542528,2011-01-28,20.700
542530,2011-01-28,15.000
542534,2011-01-28,77.700
542536,2011-01-28,211.780
542538,2011-01-28,120.000
542541,2011-01-28,217.100
542543,2011-01-28,38.100
542568,2011-01-28,15.900
542578,2011-01-28,10.500
542583,2011-01-28,35.400
542584,2011-01-28,18.800
542585,2011-01-28,24.450
542590,2011-01-28,17.400
542595,2011-01-30,65.650
542596,2011-01-30,47.700
542597,2011-01-30,21.850
542598,2011-01-30,42.550
542599,2011-01-30,45.850
542600,2011-01-30,24.950
542601,2011-01-30,33.100
542602,2011-01-30,20.750
542603,2011-01-30,36.000
542605,2011-01-30,13.250
542607,2011-01-30,79.200
542608,2011-01-30,19.390
542609,2011-01-30,23.600
542610,2011-01-30,8.250
542611,2011-01-30,56.510
542612,2011-01-30,22.400
542613,2011-01-30,118.400
542614,2011-01-30,53.250
542616,2011-01-30,22.700
542617,2011-01-30,134.300
542618,2011-01-30,6.250
542619,2011-01-30,70.950
542622,2011-01-31,125.250
542623,2011-01-31,41.500
542624,2011-01-31,232.630
542625,2011-01-31,75.810
542631,2011-01-31,11.100
542632,2011-01-31,50.400
542633,2011-01-31,45.850
542634,2011-01-31,31.220
542646,2011-01-31,83.600
542647,2011-01-31,40.100
542659,2011-01-31,122.550
542662,2011-01-31,42.060
542664,2011-01-31,183.200
542667,2011-01-31,32.550
542691,2011-01-31,231.720
542692,2011-01-31,26.250
542707,2011-01-31,45.000
542709,2011-01-31,27.600
542710,2011-01-31,45.300
542711,2011-01-31,14.050
542712,2011-01-31,154.900
542715,2011-01-31,10.400
542716,2011-01-31,5.000
542717,2011-01-31,8.760
542719,2011-01-31,21.170
542723,2011-01-31,10.050
542724,2011-01-31,19.500
542725,2011-01-31,8.850
542727,2011-01-31,2.100
542728,2011-01-31,76.320
542729,2011-01-31,27.780
542731,2011-01-31,44.850
542733,2011-01-31,21.750
542737,2011-01-31,1.160
542739,2011-01-31,131.400
542741,2011-01-31,8.250
542743,2011-01-31,8.850
542745,2011-01-31,51.450
542776,2011-02-01,43.530
542778,2011-02-01,25.850
542780,2011-02-01,51.500
542785,2011-02-01,225.000
542786,2011-02-01,95.310
542788,2011-02-01,46.800
542789,2011-02-01,531.140
542790,2011-02-01,47.700
542791,2011-02-01,52.150
542794,2011-02-01,121.660
542795,2011-02-01,64.450
542796,2011-02-01,35.550
542797,2011-02-01,87.570
542806,2011-02-01,65.300
542812,2011-02-01,19.650
542836,2011-02-01,57.000
542849,2011-02-01,12.750
542858,2011-02-01,3.300
542862,2011-02-01,24.950
542863,2011-02-01,69.750
542864,2011-02-01,211.800
542865,2011-02-01,25.050
542867,2011-02-01,21.300
542868,2011-02-01,29.000
542869,2011-02-01,19.300
542870,2011-02-01,20.580
542871,2011-02-01,10.500
542881,2011-02-01,19.250
542886,2011-02-01,40.850
542888,2011-02-01,12.750
542889,2011-02-01,102.000
542890,2011-02-01,225.050
542891,2011-02-01,672.740
542895,2011-02-01,28.250
542897,2011-02-01,53.550
542898,2011-02-01,70.650
542899,2011-02-01,4.950
542902,2011-02-01,52.500
542906,2011-02-01,180.500
542907,2011-02-01,58.000
542908,2011-02-01,32.100
542914,2011-02-01,9.750
542923,2011-02-02,46.950
542925,2011-02-02,5.040
542928,2011-02-02,113.940
542929,2011-02-02,18.400
542930,2011-02-02,279.900
542931,2011-02-02,47.400
542932,2011-02-02,106.040
542933,2011-02-02,59.800
542934,2011-02-02,176.100
542936,2011-02-02,18.750
542989,2011-02-02,25.500
542990,2011-02-02,22.500
542993,2011-02-02,42.750
542994,2011-02-02,15.900
542997,2011-02-02,35.130
542998,2011-02-02,43.010
542999,2011-02-02,73.590
543000,2011-02-02,128.900
543001,2011-02-02,57.000
543002,2011-02-02,5.040
543003,2011-02-02,35.600
543006,2011-02-02,70.600
543008,2011-02-02,120.000
543009,2011-02-02,10.080
543010,2011-02-02,40.350
543012,2011-02-02,4.250
543013,2011-02-02,121.880
543015,2011-02-02,42.000
543020,2011-02-02,19.080
543021,2011-02-02,51.120
543022,2011-02-02,112.830
543023,2011-02-02,81.600
543024,2011-02-02,84.600
543031,2011-02-02,17.700
543033,2011-02-02,28.890
543036,2011-02-02,5.900
543038,2011-02-02,12.600
543040,2011-02-02,172.960
543044,2011-02-03,42.750
543045,2011-02-03,6.720
543046,2011-02-03,20.400
543054,2011-02-03,30.000
543094,2011-02-03,17.700
543095,2011-02-03,25.200
543096,2011-02-03,62.050
543097,2011-02-03,288.280
543099,2011-02-03,1002.200
543106,2011-02-03,50.400
543107,2011-02-03,78.000
543111,2011-02-03,39.150
543113,2011-02-03,96.800
543115,2011-02-03,6.950
543116,2011-02-03,121.900
543118,2011-02-03,89.650
543120,2011-02-03,49.300
543123,2011-02-03,79.200
543124,2011-02-03,47.900
543125,2011-02-03,12.750
543126,2011-02-03,31.800
543127,2011-02-03,39.000
543132,2011-02-03,17.700
543161,2011-02-03,47.400
543162,2011-02-03,24.250
543164,2011-02-03,31.400
543165,2011-02-03,5.900
543166,2011-02-04,82.250
543167,2011-02-04,149.100
543170,2011-02-04,21.000
543171,2011-02-04,102.100
543172,2011-02-04,91.230
543173,2011-02-04,48.200
543174,2011-02-04,53.400
543182,2011-02-04,103.540
543183,2011-02-04,17.000
543184,2011-02-04,67.500
543187,2011-02-04,15.300
543190,2011-02-04,22.350
543191,2011-02-04,5.450
543193,2011-02-04,77.650
543196,2011-02-04,69.980
543197,2011-02-04,104.700
543199,2011-02-04,30.000
543200,2011-02-04,246.920
543201,2011-02-04,83.610
543232,2011-02-04,102.400
543235,2011-02-04,17.960
543237,2011-02-04,329.030
543242,2011-02-04,49.900
543245,2011-02-04,28.650
543246,2011-02-04,10.900
543249,2011-02-04,29.700
543250,2011-02-04,26.400
543251,2011-02-04,17.700
543252,2011-02-04,38.500
543255,2011-02-04,32.000
543256,2011-02-04,14.460
543263,2011-02-04,1.250
543264,2011-02-04,32.250
543272,2011-02-06,22.200
543273,2011-02-06,47.170
543275,2011-02-06,19.600
543277,2011-02-06,130.000
543278,2011-02-06,6.550
543279,2011-02-06,51.380
543280,2011-02-06,39.000
543281,2011-02-06,7.150
543282,2011-02-06,25.350
543283,2011-02-07,12.750
543285,2011-02-07,81.950
543286,2011-02-07,117.000
543287,2011-02-07,225.750
543288,2011-02-07,47.550
543292,2011-02-07,48.250
543293,2011-02-07,72.350
543294,2011-02-07,79.900
543300,2011-02-07,378.700
543306,2011-02-07,39.060
543309,2011-02-07,55.350
543325,2011-02-07,17.700
543332,2011-02-07,46.800
543342,2011-02-07,56.250
543345,2011-02-07,105.760
543349,2011-02-07,21.850
543351,2011-02-07,40.000
543354,2011-02-07,85.200
543355,2011-02-07,32.000
543358,2011-02-07,89.900
543359,2011-02-07,22.150
543367,2011-02-07,101.940
543369,2011-02-07,29.950
543371,2011-02-07,22.470
543373,2011-02-07,24.540
543377,2011-02-07,66.480
543382,2011-02-07,120.550
543389,2011-02-08,6.750
543391,2011-02-08,35.700
543392,2011-02-08,122.400
543393,2011-02-08,48.800
543395,2011-02-08,15.900
543396,2011-02-08,260.560
543397,2011-02-08,3.750
543399,2011-02-08,346.470
543400,2011-02-08,1.300
543428,2011-02-08,51.220
543446,2011-02-08,10.200
543447,2011-02-08,64.500
543448,2011-02-08,572.370
543449,2011-02-08,79.200
543450,2011-02-08,62.320
543451,2011-02-08,33.880
543454,2011-02-08,9.900
543457,2011-02-08,27.650
543458,2011-02-08,5.800
543461,2011-02-08,9.090
543462,2011-02-08,42.840
543463,2011-02-08,133.510
543464,2011-02-08,109.800
543466,2011-02-08,85.200
543467,2011-02-08,171.500
543468,2011-02-08,26.300
543470,2011-02-08,56.580
543474,2011-02-08,24.750
543476,2011-02-08,10.200
543481,2011-02-08,26.350
543482,2011-02-08,33.200
543483,2011-02-09,27.000
543485,2011-02-09,35.550
543486,2011-02-09,91.050
543487,2011-02-09,73.200
543507,2011-02-09,91.950
543519,2011-02-09,7.800
543527,2011-02-09,12.600
543529,2011-02-09,29.600
543530,2011-02-09,144.830
543532,2011-02-09,48.230
543533,2011-02-09,54.550
543534,2011-02-09,103.800
543535,2011-02-09,21.480
543536,2011-02-09,0.420
543538,2011-02-09,44.300
543539,2011-02-09,13.800
543540,2011-02-09,16.500
543542,2011-02-09,124.550
543543,2011-02-09,30.050
543546,2011-02-09,323.350
543547,2011-02-09,5.900
543548,2011-02-10,73.500
543553,2011-02-10,10.500
543554,2011-02-10,38.100
543555,2011-02-10,324.300
543565,2011-02-10,85.800
543586,2011-02-10,15.300
543588,2011-02-10,103.680
