,country,cnt_code,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
57,Ecuador,ECU,2016,-0.25,-0.1,-0.43,-1.02,-0.69,-0.67,3.0,-0.7,Partly Free
127,Mali,MLI,2016,-0.18,-1.55,-0.99,-0.59,-0.78,-0.67,4.5,-0.7,Partly Free
139,Niger,NER,2016,-0.34,-1.08,-0.59,-0.67,-0.64,-0.64,3.5,-0.6,Partly Free
44,Comoros,COM,2016,-0.18,-0.02,-1.54,-1.05,-1.13,-0.64,3.5,-0.6,Partly Free
9,Armenia,ARM,2016,-0.62,-0.6,-0.15,0.25,-0.11,-0.57,4.5,-0.6,Partly Free
39,Côte d'Ivoire,CIV,2016,-0.28,-0.9,-0.67,-0.36,-0.67,-0.54,4.0,-0.5,Partly Free
153,Philippines,PHL,2016,0.14,-1.3,-0.01,0.0,-0.4,-0.53,3.0,-0.5,Partly Free
195,Tanzania,TZA,2016,-0.18,-0.41,-0.55,-0.44,-0.39,-0.51,3.5,-0.5,Partly Free
188,Timor-Leste,TMP,2016,0.24,-0.08,-1.03,-0.98,-1.2,-0.51,3.0,-0.5,Partly Free
23,Bosnia and Herzegovina,BIH,2016,-0.16,-0.38,-0.43,-0.17,-0.29,-0.47,3.5,-0.5,Partly Free
117,Kosovo,KSV,2016,-0.16,-0.2,-0.44,-0.19,-0.38,-0.42,3.5,-0.4,Partly Free
212,Zambia,ZMB,2016,-0.3,0.18,-0.66,-0.48,-0.3,-0.4,3.5,-0.4,Partly Free
5,Albania,ALB,2016,0.16,0.26,0.0,0.19,-0.35,-0.4,3.0,-0.4,Partly Free
87,Indonesia,IDN,2016,0.14,-0.38,0.01,-0.12,-0.36,-0.39,3.0,-0.4,Partly Free
43,Colombia,COL,2016,0.1,-0.96,0.02,0.4,-0.32,-0.34,3.5,-0.3,Partly Free
170,Solomon Islands,SLB,2016,0.49,0.51,-0.99,-0.96,-0.34,-0.34,3.0,-0.3,Partly Free
126,"Macedonia, FYR",MKD,2016,-0.23,-0.38,0.09,0.44,-0.31,-0.31,3.5,-0.3,Partly Free
112,Sri Lanka,LKA,2016,-0.11,0.07,-0.21,-0.1,-0.01,-0.28,4.0,-0.3,Partly Free
105,Kuwait,KWT,2016,-0.69,-0.15,-0.18,-0.07,0.03,-0.2,5.0,-0.2,Partly Free
192,Turkey,TUR,2016,-0.63,-2.0,0.05,0.2,-0.16,-0.2,3.5,-0.2,Partly Free
119,Morocco,MAR,2016,-0.65,-0.29,-0.1,-0.23,-0.14,-0.15,4.5,-0.1,Partly Free
18,Burkina Faso,BFA,2016,0.04,-0.95,-0.55,-0.4,-0.45,-0.13,3.5,-0.1,Partly Free
131,Montenegro,MNE,2016,0.08,0.16,0.1,0.22,-0.04,-0.1,3.0,-0.1,Partly Free
113,Lesotho,LSO,2016,0.03,-0.25,-0.8,-0.39,-0.18,-0.02,3.0,-0.0,Partly Free
137,Malaysia,MYS,2016,-0.47,0.1,0.88,0.71,0.54,0.11,4.0,0.1,Partly Free
64,Fiji,FJI,2016,-0.03,0.83,-0.26,-0.38,-0.29,0.13,3.0,0.1,Partly Free
69,Georgia,GEO,2016,0.22,-0.29,0.51,1.01,0.37,0.67,3.0,0.7,Partly Free
181,Seychelles,SYC,2016,0.16,0.72,0.36,-0.26,0.13,0.79,3.0,0.8,Partly Free
31,Bhutan,BTN,2016,-0.05,0.99,0.49,-0.67,0.47,1.14,3.5,1.1,Partly Free
82,"Hong Kong SAR, China",HKG,2016,0.27,0.84,1.86,2.15,1.7,1.58,3.5,1.6,Partly Free
169,Singapore,SGP,2016,-0.28,1.53,2.21,2.18,1.83,2.07,4.0,2.1,Partly Free
