,country,cnt_code,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
45,Cape Verde,CPV,2016,1.02,0.88,0.1,-0.3,0.35,0.88,1.0,0.9,Free
33,Botswana,BWA,2016,0.42,1.09,0.51,0.53,0.52,0.93,2.5,0.9,Free
158,Portugal,PRT,2016,1.17,1.02,1.22,0.84,1.13,0.96,1.0,1.0,Free
93,Israel,ISR,2016,0.77,-0.83,1.35,1.31,1.02,1.06,1.5,1.1,Free
37,Chile,CHL,2016,1.0,0.51,1.02,1.37,1.13,1.11,1.0,1.1,Free
22,"Bahamas, The",BHS,2016,0.94,0.9,0.72,0.26,0.23,1.13,1.0,1.1,Free
61,Estonia,EST,2016,1.2,0.69,1.12,1.7,1.24,1.21,1.0,1.2,Free
1,Andorra,ADO,2016,1.2,1.4,1.86,0.87,1.56,1.23,1.0,1.2,Free
29,Barbados,BRB,2016,1.1,0.96,1.08,0.48,0.78,1.24,1.0,1.2,Free
198,Uruguay,URY,2016,1.18,1.1,0.55,0.49,0.63,1.32,1.0,1.3,Free
199,United States,USA,2016,1.1,0.35,1.48,1.5,1.67,1.33,1.0,1.3,Free
65,France,FRA,2016,1.08,-0.06,1.41,1.07,1.41,1.37,1.0,1.4,Free
97,Japan,JPN,2016,1.0,1.01,1.83,1.43,1.38,1.51,1.0,1.5,Free
13,Austria,AUT,2016,1.29,0.82,1.51,1.44,1.78,1.54,1.0,1.5,Free
16,Belgium,BEL,2016,1.35,0.48,1.33,1.34,1.4,1.6,1.0,1.6,Free
89,Ireland,IRL,2016,1.29,0.88,1.35,1.74,1.54,1.63,1.0,1.6,Free
12,Australia,AUS,2016,1.3,0.96,1.58,1.9,1.75,1.77,1.0,1.8,Free
51,Germany,DEU,2016,1.33,0.76,1.74,1.82,1.61,1.83,1.0,1.8,Free
68,United Kingdom,GBR,2016,1.24,0.38,1.61,1.76,1.63,1.88,1.0,1.9,Free
143,Netherlands,NLD,2016,1.48,0.89,1.84,1.98,1.89,1.95,1.0,1.9,Free
35,Canada,CAN,2016,1.38,1.24,1.8,1.74,1.84,1.98,1.0,2.0,Free
92,Iceland,ISL,2016,1.34,1.33,1.41,1.28,1.51,1.99,1.0,2.0,Free
111,Liechtenstein,LIE,2016,1.19,1.46,1.7,1.37,1.68,2.05,1.0,2.0,Free
36,Switzerland,CHE,2016,1.46,1.32,2.03,1.91,1.94,2.05,1.0,2.0,Free
115,Luxembourg,LUX,2016,1.44,1.41,1.69,1.72,1.71,2.08,1.0,2.1,Free
144,Norway,NOR,2016,1.58,1.17,1.88,1.7,2.02,2.2,1.0,2.2,Free
179,Sweden,SWE,2016,1.5,0.98,1.79,1.85,2.04,2.22,1.0,2.2,Free
54,Denmark,DNK,2016,1.47,0.85,1.89,1.58,1.9,2.24,1.0,2.2,Free
63,Finland,FIN,2016,1.49,0.96,1.85,1.82,2.02,2.28,1.0,2.3,Free
147,New Zealand,NZL,2016,1.44,1.49,1.86,2.04,1.93,2.3,1.0,2.3,Free
