,Unnamed: 0,Unnamed: 0.1,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
236,236,237,beach,21.386,0.0678,21.386,21.386,21.386,46.386,0.0678,0.0052,0.1491,0.2421,4583.332,8.430181523517474,0.0
237,237,238,beach,9.522,0.0678,9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3749.9999,8.22951109229779,0.0
242,242,243,beach,9.522,0.0678,9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,0.0
243,243,244,beach,71.442,0.0678,71.442,71.442,13.122,42.122,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
261,261,262,beach,4.122,0.0678,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
263,263,264,beach,71.442,0.0678,71.442,71.442,13.122,42.122,0.0678,0.0025,0.0499,0.2421,5416.6667,8.59723590524362,0.0
278,278,279,beach,13.29,0.0678,13.29,13.29,13.29,42.29,0.0678,0.0789,0.1643,0.0041,10416.666,9.251162302496436,0.0
303,303,304,beach,8.29,0.0678,8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6250.0013,8.740336950730425,0.0
305,305,306,beach,11.186,0.0678,11.186,11.186,11.186,36.186,0.0678,0.0503,0.2601,0.5391,2083.3332,7.641724390062335,0.0
306,306,307,beach,38.386,0.0678,38.386,38.386,38.386,63.386,0.0678,0.0503,0.2601,0.5391,8750.001,9.076809093637367,0.0
324,324,325,beach,4.29,0.0678,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
336,336,337,beach,2.29,0.0678,2.29,2.29,2.29,27.29,0.0678,0.0503,0.0276,0.0029,1249.9998,7.130898670296334,0.0
343,343,344,beach,306.82,0.5333,306.82,306.82,42.32,77.32,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,0.0
353,353,354,beach,24.786,0.0678,24.786,24.786,24.786,49.786,0.0678,0.0503,0.2601,0.5391,5416.6667,8.59723590524362,0.0
361,361,362,beach,4.122,0.0678,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
370,370,371,beach,37.098,0.0678,37.098,37.098,37.098,66.098,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
391,391,392,beach,47.174,0.0678,47.174,47.174,53.58600000000001,82.586,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
411,411,412,beach,85.698,0.2537,85.698,85.698,85.698,104.198,0.2537,0.1498,0.0233,0.0219,3749.9999,8.22951109229779,0.0
445,445,446,beach,74.196,0.2537,74.196,74.196,74.196,92.696,0.2537,0.1498,0.0008,0.0027,1249.9998,7.130898670296334,0.0
455,455,456,beach,109.35,0.0678,109.35,109.35,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
488,488,489,beach,87.814,0.0678,87.814,87.814,87.814,112.814,0.0678,0.0503,0.2601,0.5391,3749.9999,8.22951109229779,0.0
491,491,492,beach,66.654,0.0678,66.654,66.654,81.46600000000002,110.466,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
515,515,516,beach,97.686,0.0678,97.686,97.686,97.686,122.686,0.0678,0.0052,0.1491,0.2421,5416.6667,8.59723590524362,0.0
516,516,517,beach,44.08600000000001,0.0678,44.08600000000001,44.08600000000001,44.08600000000001,69.086,0.0678,0.0503,0.2601,0.5391,2083.3332,7.641724390062335,0.0
523,523,524,beach,56.074,0.0678,56.074,56.074,70.88600000000002,99.886,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
550,550,551,beach,15.134,0.0678,15.134,15.134,19.74,48.74,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
560,560,561,beach,17.496,0.0678,17.496,17.496,78.732,107.732,0.0678,0.0789,0.0014,0.0029,5416.6667,8.59723590524362,0.0
567,567,568,beach,89.53200000000002,0.0678,89.53200000000002,89.53200000000002,89.53200000000002,114.532,0.0678,0.0503,0.023,0.1648,6250.0013,8.740336950730425,0.0
580,580,581,beach,37.896,0.0678,37.896,37.896,170.532,199.532,0.0678,0.0789,0.0014,0.0029,12499.998,9.43348376329038,0.0
587,587,588,beach,10.296,0.0678,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
603,603,604,beach,5.934,0.0678,5.934,5.934,7.74,36.74,0.0678,0.0789,0.0014,0.0029,416.66668,6.0322865736282365,0.0
611,611,612,beach,24.334,0.0678,24.334,24.334,31.74,60.74,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
620,620,621,beach,93.312,0.2537,93.312,93.312,93.312,111.812,0.2537,0.1498,0.0233,0.0219,5416.6667,8.59723590524362,0.0
626,626,627,beach,15.134,0.0678,15.134,15.134,19.74,48.74,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
628,628,629,beach,42.734,0.0678,42.734,42.734,55.74,84.74,0.0678,0.0789,0.1643,0.5391,7083.3317,8.86549965509619,0.0
649,649,650,beach,10.296,0.0678,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
655,655,656,beach,5.496,0.0678,5.496,5.496,24.732,53.732,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
659,659,660,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
666,666,667,beach,47.37,0.2537,47.37,47.37,157.9,176.4,0.2537,0.1498,0.0233,0.0219,12499.998,9.43348376329038,0.0
675,675,676,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
686,686,687,beach,12.87,0.2537,12.87,12.87,42.9,61.4,0.2537,0.1498,0.2339,0.6288,2916.6666,7.978196667826407,0.0
688,688,689,beach,27.87,0.2537,27.87,27.87,92.9,111.4,0.2537,0.1498,0.2339,0.6288,7083.3317,8.86549965509619,0.0
695,695,696,beach,12.87,0.2537,12.87,12.87,42.9,61.4,0.2537,0.1498,0.0082,0.0044,2916.6666,7.978196667826407,0.0
707,707,708,beach,27.87,0.2537,27.87,27.87,120.77,139.27,0.2537,0.1498,0.0233,0.0219,7083.3317,8.86549965509619,0.0
708,708,709,beach,9.87,0.2537,9.87,9.87,42.77,61.27,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
711,711,712,beach,18.87,0.2537,18.87,18.87,81.77,100.27,0.2537,0.1498,0.2339,0.6288,4583.332,8.430181523517474,0.0
713,713,714,beach,21.87,0.2537,21.87,21.87,72.9,91.4,0.2537,0.1498,0.2339,0.6288,5416.6667,8.59723590524362,0.0
742,742,743,beach,18.87,0.2537,18.87,18.87,62.9,81.4,0.2537,0.1498,0.2339,0.6288,4583.332,8.430181523517474,0.0
756,756,757,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
759,759,760,beach,15.87,0.2537,15.87,15.87,52.9,71.4,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
769,769,770,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
774,774,775,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
793,793,794,beach,125.902,0.5333,125.902,125.902,68.77,103.77,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,0.0
807,807,808,beach,24.87,0.2537,24.87,24.87,107.77,126.27,0.2537,0.1498,0.0082,0.0044,6250.0013,8.740336950730425,0.0
812,812,813,beach,27.87,0.2537,27.87,27.87,120.77,139.27,0.2537,0.1498,0.2339,0.6288,7083.3317,8.86549965509619,0.0
817,817,818,beach,36.87,0.2537,36.87,36.87,159.77,178.27,0.2537,0.1498,0.2339,0.6288,9583.3357,9.167781004513879,0.0
818,818,819,beach,12.87,0.2537,12.87,12.87,55.77,74.27,0.2537,0.1498,0.0082,0.0044,2916.6666,7.978196667826407,0.0
819,819,820,beach,6.87,0.2537,6.87,6.87,29.77,48.27,0.2537,0.1498,0.0233,0.0219,1249.9998,7.130898670296334,0.0
821,821,822,beach,12.87,0.2537,12.87,12.87,55.77,74.27,0.2537,0.1498,0.2339,0.6288,2916.6666,7.978196667826407,0.0
824,824,825,beach,12.87,0.2537,12.87,12.87,55.77,74.27,0.2537,0.1498,0.2339,0.6288,2916.6666,7.978196667826407,0.0
827,827,828,beach,30.87,0.2537,30.87,30.87,133.77,152.27,0.2537,0.1498,0.0233,0.0219,7916.6663,8.976725474478886,0.0
839,839,840,beach,24.87,0.2537,24.87,24.87,107.77,126.27,0.2537,0.1498,0.0233,0.0219,6250.0013,8.740336950730425,0.0
844,844,845,beach,21.87,0.2537,21.87,21.87,94.77,113.27,0.2537,0.1498,0.0233,0.0219,5416.6667,8.59723590524362,0.0
859,859,860,beach,15.87,0.2537,15.87,15.87,68.77,87.27,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
870,870,871,beach,31.144,0.5333,31.144,31.144,70.532,105.532,0.5333,0.4522,0.0156,0.0058,1249.9998,7.130898670296334,0.0
872,872,873,beach,121.836,0.5333,121.836,121.836,203.346,238.346,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,0.0
881,881,882,beach,9.87,0.5333,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
884,884,885,beach,9.87,0.5333,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
892,892,893,beach,3.87,0.5333,3.87,3.87,47.73,82.73,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
895,895,896,beach,15.87,0.5333,15.87,15.87,195.73,230.73,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,0.0
919,919,920,beach,27.87,0.5333,27.87,27.87,343.73,378.73,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,0.0
924,924,925,beach,12.696,0.5333,12.696,12.696,179.86,214.86,0.5333,0.4522,0.0051,1.0266,3749.9999,8.22951109229779,0.0
927,927,928,beach,19.896,0.5333,19.896,19.896,281.86,316.86,0.5333,0.4522,0.2413,1.0266,6250.0013,8.740336950730425,0.0
933,933,934,beach,7.896,0.5333,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
936,936,937,beach,15.095999999999998,0.5333,15.095999999999998,15.095999999999998,213.86,248.86,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
937,937,938,beach,10.296,0.5333,10.296,10.296,145.86,180.86,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
941,941,942,beach,15.095999999999998,0.5333,15.095999999999998,15.095999999999998,213.86,248.86,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
946,946,947,beach,17.496,0.5333,17.496,17.496,247.86,282.86,0.5333,0.4522,0.0156,0.0058,5416.6667,8.59723590524362,0.0
951,951,952,beach,26.598000000000006,0.5333,26.598000000000006,26.598000000000006,172.458,207.458,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
956,956,957,beach,14.198,0.5333,14.198,14.198,92.058,127.058,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
963,963,964,beach,32.798,0.5333,32.798,32.798,212.658,247.658,0.5333,0.4522,0.1665,0.3975,3749.9999,8.22951109229779,0.0
978,978,979,beach,7.997999999999998,0.5333,7.997999999999998,7.997999999999998,51.858,86.85799999999998,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
980,980,981,beach,14.476,0.2537,14.476,14.476,62.51,81.01,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
997,997,998,beach,17.496,0.5333,17.496,17.496,247.86,282.86,0.5333,0.4522,0.2413,1.0266,5416.6667,8.59723590524362,0.0
1004,1004,1005,beach,76.176,0.2537,76.176,76.176,139.656,158.156,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
1007,1007,1008,beach,5.496,0.5333,5.496,5.496,77.86,112.86,0.5333,0.4522,0.1665,0.3975,1249.9998,7.130898670296334,0.0
1009,1009,1010,beach,7.896,0.5333,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1011,1011,1012,beach,3.29,0.5333,3.29,3.29,101.99,136.99,0.5333,0.4522,0.0051,1.0266,2083.3332,7.641724390062335,0.0
1012,1012,1013,beach,2.29,0.5333,2.29,2.29,70.99,105.99,0.5333,0.4522,0.1665,0.3975,1249.9998,7.130898670296334,0.0
1013,1013,1014,beach,1.29,0.5333,1.29,1.29,39.99,74.99,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
1022,1022,1023,beach,11.45,0.5333,11.45,11.45,67.32600000000001,102.326,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
1027,1027,1028,beach,26.45,0.5333,26.45,26.45,155.526,190.526,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,0.0
1030,1030,1031,beach,21.45,0.5333,21.45,21.45,126.126,161.126,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
1035,1035,1036,beach,11.45,0.5333,11.45,11.45,67.32600000000001,102.326,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
1042,1042,1043,beach,15.87,0.5333,15.87,15.87,195.73,230.73,0.5333,0.4522,0.1665,0.3975,3749.9999,8.22951109229779,0.0
1054,1054,1055,beach,12.696,0.5333,12.696,12.696,179.86,214.86,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,0.0
1073,1073,1074,beach,30.888,0.5333,30.888,30.888,181.896,216.896,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,0.0
1093,1093,1094,beach,17.496,0.5333,17.496,17.496,247.86,282.86,0.5333,0.4522,0.2413,1.0266,5416.6667,8.59723590524362,0.0
1104,1104,1105,beach,94.506,0.2537,94.506,94.506,193.986,212.486,0.2537,0.1498,0.0008,0.0027,6250.0013,8.740336950730425,0.0
1114,1114,1115,beach,6.29,0.5333,6.29,6.29,194.99,229.99,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
1119,1119,1120,beach,4.29,0.5333,4.29,4.29,132.99,167.99,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
1120,1120,1121,beach,4.29,0.5333,4.29,4.29,132.99,167.99,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
1122,1122,1123,beach,6.29,0.5333,6.29,6.29,194.99,229.99,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,0.0
1123,1123,1124,beach,9.29,0.5333,9.29,9.29,287.99,322.99,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,0.0
1153,1153,1154,beach,105.906,0.2537,105.906,105.906,217.386,235.886,0.2537,0.1498,0.0233,0.0219,7083.3317,8.86549965509619,0.0
1159,1159,1160,beach,18.876,0.2537,18.876,18.876,81.51,100.01,0.2537,0.1498,0.2339,0.6288,2916.6666,7.978196667826407,0.0
1167,1167,1168,beach,23.688,0.5333,23.688,23.688,139.496,174.49599999999995,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,0.0
1173,1173,1174,beach,62.63399999999999,0.0678,62.63399999999999,62.63399999999999,123.552,152.55200000000005,0.0678,0.0789,0.0014,0.0029,2916.6666,7.978196667826407,0.0
1176,1176,1177,beach,121.836,0.5333,121.836,121.836,203.346,238.346,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
1178,1178,1179,beach,235.436,0.5333,235.436,235.436,392.946,427.946,0.5333,0.4522,0.2413,1.0266,6250.0013,8.740336950730425,0.0
1180,1180,1181,beach,36.636,0.5333,36.636,36.636,61.146,96.146,0.5333,0.4522,0.1665,0.3975,416.66668,6.0322865736282365,0.0
